Tax ID	Species	Strain	Temp	C8:0	C9:0	C10:0	C11:0	C12:0	C13:0	C14:0	C15:0	C16:0	C17:0	C9:1	C12:1	C13:1	C14:1	C15:1	C16:1	C17:1	Cyc-C15:0
662	Vibrio	AF-1	0		0.9	0.4		0.4		7.1	19.4	10.9		0.4		1.6	8.5	26.7	8.5	8.6	
662	Vibrio	AF-1	8		0.6	6.3	4.0	4.2	1.3	22.6	4.7	9.8	1.9	0.6		1.0	7.6	27.0	6.4		11.1
662	Vibrio	AF-1	15			9.8	4.7	0.5	2.6	8.1	8.6	16.1	6.2		1.8	1.8	15.0	13.5	4.9		6.4
662	Vibrio	AM-1	0	0.7		2.0	0.7			1.2		5.1	8.6		8.2		5.5	8.2	38.6	20.8	
662	Vibrio	AM-1	8	0.5		2.4	1.7			1.7		8.2	11.1		10.7			1.0	39.6	21.9	
662	Vibrio	AM-1	15	9.6		8.9	0.4	8.0		21.8		17.8	13.5		1.0			18.2			
662	Vibrio	BM-2	0	7.9							0.7	21.6	0.4	11.4	13.7		20.6	1.5	20.3	1.3	
662	Vibrio	BM-2	8	6.3			0.6	6.4		1.0	0.9	46.5	0.4	6.6	1.0		7.5	2.5	17.7	1.4	
662	Vibrio	BM-2	15	4.6			0.7	9.0		1.2	1.1	38.4	0.4	5.4			12.0	2.9	22.0	1.2	
662	Vibrio	BM-4	0	0.5		1.5	1.2	0.4		1.5	8.3	0.3	7.6		0.4	1.3	4.2	9.5	60.7	2.4	
662	Vibrio	BM-4	8	0.7		0.4	1.8	0.9		11.3	3.6	1.2	5.1		0.4			6.8	65.9	0.5	
662	Vibrio	BM-4	15	0.7		0.6	2.4	0.8		15.9	3.0	1.3	6.9						68.0	0.5	
