Ref Loc	Species	Strain	Temp	Notes	I-C14:0	C14:0	I-C15:0	A-C15:0	C15:0	I-C16:0	C16:0	I-C17:0	A-C17:0	C17:0	I-C18:0	C18:0
Table 1	Rhodothermus marinus	DSM 4252	60	Medium A	0.34		16.2	20.7		3.1	3.1	40.2	18.5		0.5	
Table 1	Rhodothermus marinus	DSM 4252	60	Medium B	1.9	0.3	7.8	22.3		16.1	3.2	22.1	19.5	1.0	3.4	0.8
Table 1	Rhodothermus marinus	DSM 4252	60	Medium C	0.6		12.2	30.2		5.8	2.1	28.9	19.3		0.9	
Table 1	Rhodothermus marinus	DSM 4252	60	Medium D	2.1	2.7	5.2	10.4	2.2	10.3	36.7	11.0	7.4	4.3	2.9	5.4
Table 1	Rhodothermus marinus	DSM 4253	60	Medium A	0.5		15.9	20.2		4.1	2.7	37.8	17.2	0.4	0.9	0.3
Table 1	Rhodothermus marinus	DSM 4253	60	Medium B	1.6		6.8	24.9		16.5	2.4	20.8	23.6	0.3	3.4	
Table 1	Rhodothermus marinus	DSM 4253	60	Medium D	1.5	1.8	3.2	13.4	1.7	10.1	26.2	8.9	14.3	5.6	5.8	9.9
Table 1	Rhodothermus sp	PRQ 36	60	Medium A	0.3		11.2	21.4		2.9	3.3	35.7	24.6		0.6	
Table 1	Rhodothermus sp	PRQ 36	60	Medium B	1.7		6.4	20.2	0.2	22.6	1.5	21.4	22.2	0.4	3.9	
Table 1	Rhodothermus sp	PRQ 41	60	Medium A	0.4		13.3	17.9		5.7	3.3	36.2	21.4		1.6	0.3
Table 1	Rhodothermus sp	PRQ 41	60	Medium B	2.5		6.2	16.4		32.7	1.8	17.6	16.8		6.4	
Table 1	Rhodothermus sp	PRQ 52	60	Medium A	0.2		14.8	22.3		3.0	4.3	36.6	18.5		0.5	0.5
Table 1	Rhodothermus sp	PRQ 52	60	Medium B	3.2		4.3	15.9		39.6	2.8	14.5	14.2		5.9	0.2
Table 1	Thermus thermophilus	HB-8	60	Medium A, 0% NaCl	1.2		31.5	10.8		9.0	0.5	35.2	12.0			
Table 1	Thermus thermophilus	HB-8	60	Medium B, 0% NaCl	2.0		18.5	18.1		17.5	0.5	20.9	22.1		0.6	
Table 1	Thermus thermophilus	HB-8	60	Medium A, 1% NaCl	0.8		40.3	3.9		5.7	0.9	36.5	11.8			
Table 1	Thermus thermophilus	HB-8	60	Medium B, 1% NaCl	1.8		20.1	11.2		21.6	0.5	21.2	23.8		0.7	
