Tax ID	Species	Strain	C14:0	C15:0	C16:0	C18:0	C24:0	C25:0	C26:0	C16:1ω12	C16:1ω10	C16:1ω9	C16:1ω7	C16:1ω13t	C18:1ω9	C18:1ω7	C20:1ω9	C16:2ω7	C16:2ω6	C16:3ω6	C16:3ω3	C16:4ω3	C18:2ω6	C18:3ω6	C18:3ω3	C18:4ω3	C18:5ω3	C20:3ω3	C20:4ω6	C20:4ω3	C20:5ω3	C22:5ω3	C22:6ω3	Other
3075	Chlorella protothecoides	CS-41	0.2	0.2	15.5	0.5						0.3	0.8	2.0	3.5	1.7			5.1		19		9.6		41.5									0.2
175242	Chlorella	CS-247	0.5	0.3	23.6	0.9	0.7	0.1	0.2			0.7	0.7	3.9	2.2	1.1			5.4		11.8		19.8		27.0									0.3
175242	Chlorella	CS-195	0.6	0.5	21.8	0.8	0.3					1.0	1.7	5.2	2.4	1.2			4.4		12.7		14.1		32.9									0.1
29646	Stichococcus	CS-92	0.4	0.2	24.5	0.5	0.4	0.2	0.3			0.4	2.1	3.9	0.8	0.9			4.9		13.6		18.3		28.2									0.2
647622	Pyramimonas cordata	CS-140	0.2	<0.1	13.4	1.3						1.0	0.8	6.4	0.2	14.8			0.1		<0.1	14.3	0.7	<0.1	4.6	25.6	3.4	1.2			0.4	4.1	4.5	0.9
63592	Tetraselmis chui	CS-26	0.2		19.9	0.3	0.1					0.3	0.1	3.2	6.8	3.0	2.5		0.1		1.5	15.9	4.6	0.4	25.2	6.1		0.1	0.6	0.6	8.0			0.2
	"Coccoid prasinophyte"	CS-126	1.3	1.1	26.3	0.5	<0.1	0.3	1.1			0.5	0.2	0.9	0.7	0.8			1.9	2.9	3.9	8.2	6.1	5.6	3.0	16.4	2.6		1.4	0.1	10.7			3.0
41880	Pycnococcus provasolii	CS-185	3.2	0.1	20.2	0.5						0.8	0.2	3.0	2.2	0.1			0.3	0.1	1.6	14.5	1.4	0.7	5.2	26.3	10.6				0.2	0.4	7.4	0.6
38833	Micromonas pusilla	CS-98	4.4	<0.1	13.6	1.0				1.9	0.2	0.1	0.7	2.5	0.3	5.5	<0.1	0.2				20.4	0.1	<0.1	1.4	20.7	16.7	0.1		<0.1	0.3	0.3	8.5	0.4
38833	Micromonas pusilla	CS-170	6.7	0.3	20.6	1.8						0.2	0.5	2.4	1.0	10.8	0.1		0.2		0.9	15.5	1.1	0.5	8.1	16.4	2.2	0.1		0.1	1.6	0.3	7.5	0.4
