Tax ID	Species	Strain	Temp	Medium	C14:0	C16:0	C18:0	C14:1	C16:1	C18:1	C18:2	C18:3ω3,6,9c	C18:3ω6,9,12c	C18:4
1296348	Anabaena	6302; ICC 1551	25	BG11	1	14	4		8	22	21	10		
135104	Anabaena spiroides	6310; ICC 1552	25	BG11	<1	18	1		15	12	18	40	<1	
109266	Anabaenopsis circularis	6720	30	BG11	1	19	2	1	21	10	24	11		
447716	Anabaena variabilis	6309	25	BG11	1	26	1		5	7	25	26		
889393	Anabaena	6314; ICC 1545	25	BG11	1	10	2	<1	13	10	17	21		
889391	Anabaena	6411	25	BG11	1	21	2	<1	15	16	22	17	<1	
	Anabaena	6705	25	BG11	<1	17	1	<1	31	12	23	13		1.0
1296334	Nostoc	6719; BC-172	25	BG11	1	16	2	<1	20	14	23	10		
32054	Calothrix parietina	6303	25	BG11	1	34	1		6	4	14	7	2	17.0
32056	Calothrix desertica	7102	25	BG11	1	24	5		2	16	22	5		6.0
231146	Tolypothrix tenuis	7101; SAUG B-1482-3	25	BG11	1	22	3	2	3	12	15	6	13	11.0
137816	Nodularia sphaerocarpa	7103; SAUG B-1466-1	25	BG11	1	23	7	<1	3	14	17	5		11.0
	Nostoc	6305; ICC 1544	30	BG11	1	15	1	<1	27	17	20	<1	13	1.0
	Microchaete	6601	30	BG11	<1	16	1	<1	24	15	22		15	1.0
102122	Chlorogloea fritschii	6718	30	BG11	1	29	2	<1	16	20	18	8		
