Ref Loc	Species	Strain	Phase	C14:0	C15:0	C16:0	C17:0	C18:0	C19:0	C20:0	C16:1	C17:1	C18:1	C19:1	C20:1	C15:1ω6c	C16:1ω7c	C16:1ω7t	C18:1ω7c	C18:1ω7t	C18:1ω9c	C19:1ω10c	C20:1ω9c	I-C15:0	A-C15:0	I-C16:0	10Me-C16:0	I-C17:0	A-C17:0	Cyc-C19:0	Unknown
Table 2	Planctomyces brasiliensis	IFAM 1448	Stationary	4	8.4	30.7	1.3	5.6			25	1.8	13.1		9.9																
Table 2	Pirellula	IFAM 1441	Stationary	0.5	0.4	50.2	0.4	1.6			0.7	0.6	45.2		0.4																
Table 2	Blastopirellula marina	IFAM 1313	Stationary	1.1	1.3	49.2	1.4	0.7			6.5	2.6	37.2		<0.1																
Table 4	Planctomyces maris	IFAM 1190	Stationary	1.8	2.6	37.7	5.9	7	0.6	0.8	4.4	3	7.7	0.4											0.4	0.7					
Table 4	Rhodopirellula baltica	IFAM 1310	Stationary	9.1	4.7	17.3	5.1	9.4	5	5.3	5.2	3.8	16.2	3.9											2.9	3.1				5	
Table 4	Pirellula	IFAM 1318	Stationary	1	0.7	34.6	2.1	4.4	0.7	0.4	7.8	1	44.4	<0.1												0.5				<0.1	
Table 4	Pirellula	IFAM 1319	Stationary	4.4	5	20.3	4.2	10	4.5	3.7	6	5	18.9	4.7											3.7					4.8	
Table 4	Pirellula	IFAM 1358	Stationary	8.2	6.6	16.1	5.2	8.4	5.2	5.6	6.1	3.8	16.4	3.2											3.3	3.6				5.6	
Table 5	Planctomyces limnophilus	IFAM 1008; ATCC 43296	Stationary	0.1	1	46.6	1.7	1		0.1							18.4		5.5		20.6	0.4	1.3			0.3					0.4
Table 5	Planctomyces maris	IFAM 1317; ATCC 29201	Stationary	1	1.8	35.8	10.5	4.1		0.6						0.5	32.6	0.3	3.1	<0.1	3.7		0.3			<0.1	0.4				0.6
Table 5	Pirellula staleyi	ATCC 27377; IFAM 1189	Stationary	2.2	0.3	43.9	0.4	3.5									1		4.8		32.5		6.9	0.1	0.1	0.1		1.1	0.3		2.8
