Tax ID	Species	Strain	Medium	Temp	C10:0	C12:0	C14:0	C14:1	C15:0	C16:0	C16:1	C16:2	C18:0	C18:1	C18:2	C18:3
1206	Trichodesmium erythraeum				27.0	2.2	21.0	<0.5	1.4	17	3.7		2.6	2.8	4.2	19.0
1206	Trichodesmium erythraeum				50.0	5	7.0	<0.5	2.3	11	6.7		2.6	7.4	1.3	6.3
	Coccochloris elabens	17A	ASP-2	39.0		<0.5	1.1	0.5	0.8	49	12.0		1.2	13.0	17.0	2.6
64178	Microcoleus chthonoplastes	Ba-1	ASP-2	39.0		1.5	5.0	<0.5	2.5	37	13.0		3.7	14.0	5.0	18.0
1179	Nostoc muscorum	NM	C	30.0		<0.5	2.7	2.1	2.2	27	20.0		3.1	16.0	14.0	11.0
1172	Anabaena variabilis		C	30.0		<0.5	1.8	1.1	0.9	32	15.0		4.4	14.0	14.0	17.0
32049	Agmenellum quadruplicatum	PR-6	ASP-2	30.0		<0.5	2.0	1.2	1.8	34	15.0	3.8	2.6	16.0	14.0	5.2
272135	Plectonema terebrans	SP-31	ASP-2	30.0		<0.5	1.4	0.8	1.1	35	13.0	5.1	2.5	20.0	11.0	6.0
56109	Oscillatoria williamsii	Mev	ASP-2	30.0		0.6	2.0	1.2	1.7	36	24.0	14	1.9	11.0	3.9	
	Lyngbya lagerheimia	Mont	ASP-2	30.0		<0.5	2.0	0.8	1.1	40	15.0	<0.5	1.9	31.0	7.4	
	Anacystis marina	WET-20	ASP-2	30.0		<0.5	21.0	1.4	1.4	32	36.0	<0.5	1.6	4.1		
	Anacystis nidulans		C	39.0		<0.5	0.5	0.6	<0.5	49	34.0		1.7	13.0		
