Tax ID	Species	N	Notes	C10:0	3OH-C10:0	2OH-C11:0	3OH-C12:0	C13:1	3OH-I-C13:0	C14:0	C15:0	A-C15:0	I-C15:0	2OH-C15:0	3OH-C15:0	3OH-I-C15:0	C16:0	3OH-C16:0	I-C16:0	C16:1ω5c	C17:0	I-C17:0	3OH-I-C17:0	Cyc-C17:0	3OH-C17:0	C17:1ω6c	C17:1ω8c	C18:0	11Me-C18:1ω7c	2OH-C18:1	C18:1ω5c	C18:1ω9c	C19:0	11Cyc-C19:0	10Me-C19:0	C20:0	C20:1ω9t	C20:2ω6,9c	C20:3ω6,9,12c	Other|MIDI2|I-C15:1&3OH-C13:0	Other|MIDI3|C12:0-ALDE&Unknown&I-C16:1&3OH-C14:0	Other|MIDI4|2OH-I-C15:0&C16:1ω7	Br-C17:1	C18:1ω7	Unknown
	Agrobacterium Biovar 1	34						0.49		0.11	0.29				0.03		9.03	4.76			0.13			1.6	0.18		0.22	0.17	0.23					18.78	1.09			0.01	0.33	0.03	8.15	1.62		52.41	0.34
	Agrobacterium Biovar 2	16		0.01	0.24			0.37								4.02	7.14	5.19			0.06	0.6	0.21	0.74				2.14	0.14	2.22				34.62	0.11		0.04	0.13	2.46		3.38	0.47		35.04	0.64
	Agrobacterium Biovar 3	10															5.98	2.28										1.21	0.39	1.29				4.11	2.03				1.67		7.91	5.16		67.62	0.35
29448	Bradyrhizobium elkanii	<27	group I; 27 measured across both groups			0.02											10.49			0.1	0.03			0.95			0.03	0.37	0.12		0.02			19.99				0.29				0.44	0.1	67.05	
29448	Bradyrhizobium elkanii	<27	group II; 27 measured across both groups														10.36							0.5		0.06	0.05	0.15						8.82								0.46		79.62	
375	Bradyrhizobium japonicum	43				0.04				0.01	0.04						11.97			1.06	0.19					0.15	0.48	0.62	1.91		0.02			1.16								1.06		81.22	0.01
43992	Bradyrhizobium liaoningense	7									0.13						14.83			0.88	0.79					0.66	0.99	0.38						5.04				0.11				0.42		75.49	0.27
374	Bradyrhizobium	21	Arachis symbiont														11.14			3.99	0.03					0.02	0.07	0.47						0.19								0.44		83.64	
39645	Mesorhizobium ciceri	9					0.27		0.24		0.02		0.18				13.41				1.29	4.16		0.84			0.15	3.25	11.92			0.12		37.27	0.18	0.05	0.14	0.95				0.34		24.69	0.54
28104	Mesorhizobium huakuii	16					0.23		1.0								15.83				0.42	5.88		0.7			0.25	4.1	4.82	0.11				22.96	1.16	0.04		0.04				0.41		42.04	
43617	Mesorhizobium mediterraneum	12					0.11		0.35		0.04		0.13				10.29				1.71	4.19		0.85			0.51	4.21	5.57		0.06			33.35	0.08		0.46	0.77				0.61		35.81	0.86
381	Mesorhizobium loti	18					0.34		1.23			0.12	0.13				14.51				0.5	8.17		0.69			0.12	4.5	11.14	0.47		0.34		21.93	1.23	0.07	0.15	0.05				0.51		33.73	0.08
39844	Mesorhizobium tianshanense	8	group I				0.09		0.27				0.16				12.25				0.83	3.34		0.16		0.11	0.52	4.99	9.99					12.37	0.16							1.42		53.22	0.11
39844	Mesorhizobium tianshanense	4	group II														11.26			2.65	0.13					0.26	0.14	0.92	0.28					0.57								0.29		83.52	
69974	Mesorhizobium plurifarium	17					0.2		0.84								11.6				0.69	6.26		0.12		0.09	0.71	2.99						11.33	1.28	0.04	0.1					0.44		63.02	0.26
29449	Rhizobium etli	30				0.02								0.7	0.03		2.53	1.2			0.32						0.03	8.71	1.48			0.12		10.19	0.01		0.09		1.95		5.95	0.22		66.17	0.26
399	Rhizobium galegae	18															9.72	3.3			0.43			0.11	0.09		0.06	1.2	0.1					31.12	2.32			0.11	1.25		4.82	0.57		44.78	0.02
379	Rhizobium	19	Hedysarum symbiont					0.16						0.09	0.2		4.6	2.64			0.99			0.48	0.06		0.24	5.75	0.02			0.05		20.0	0.21			0.05	0.87		6.42	1.06		55.99	0.14
52131	Rhizobium hainanense	13			0.08			0.85								2.94	6.33	3.53			0.33	1.32	0.15	0.2				3.98	0.89	1.95				38.84				0.57	2.8		3.3	0.09		30.16	1.68
384	Rhizobium leguminosarum	30										0.04	0.03	0.87	0.02		4.08	1.32			0.32			0.15			0.01	7.83	4.7	0.05		0.09	0.01	13.91	0.02		0.01		2.31		6.46	0.52		57.22	0.03
398	Rhizobium tropici	26						0.07					0.02			3.4	7.7	3.87			0.02	0.93	0.31	0.68				2.87	0.55	0.82				49.29				0.39	1.83		2.33	0.16		24.61	0.15
56730	Rhizobium gallicum	17						0.48						0.48			3.22	2.29			0.09			0.02				9.26				0.03		7.3	0.1		0.23		0.77		6.25	0.58		68.65	0.25
56731	Rhizobium giardinii	20															11.39	0.03			0.58			1.77			0.12	2.35	2.87					2.78	1.53				2.66		10.45	4.37		58.8	0.31
380	Sinorhizobium fredii	18										0.1	0.01				5.12	0.49	0.03		0.73			0.2			0.11	4.99				0.11		4.37	0.41		0.12		3.28		7.62	0.63		71.45	0.19
382	Sinorhizobium meliloti	20															4.93	0.68			0.54			0.75	0.05		0.09	2.69	0.02			0.09		22.53	0.85			0.02	2.94		6.44	0.34		56.93	0.11
36856	Sinorhizobium saheli	6															5.01	0.61			0.08			0.15				1.08						3.55	0.8				3.74		13.57	1.24		69.91	0.26
110322	Sinorhizobium terangae	16															3.3	0.18			0.24				0.02		0.03	3.44				0.01		2.92	0.07				2.0	0.01	7.7	0.42	0.08	79.4	0.2
76747	Sinorhizobium kostiense	19															4.94	0.03			0.56			0.04				4.02				0.05		4.02	0.67				2.98	0.09	10.34	0.5		71.31	0.43
76745	Sinorhizobium arboris	9															5.2	0.1										3.91						8.94					3.43		9.71	0.14		68.44	0.13
