Tax ID	Species	Strain	Temp	C14:0	C16:0	C16:1ω7	C16:2ω4	C16:4ω1	C18:0	C18:1ω7	C18:1ω9	C18:2ω6	C18:3ω3	C18:3ω4	C18:3ω6	C18:4ω1	C18:4ω3	C20:5ω3
1163	Anabaena	ATCC 33047	33	0.4	42.3	7.8	0.3	3.7	0.9	0.9	2.6	5.7	35.3					
1172	Anabaena variabilis	ATCC 29143	33	0.4	37.4	15.8	0.2			0.9	4.3	8.6	32.3					
110103	Anabaenopsis	PCC 9215	33	0.3	45.5	3.7	0.3		0.9		8.2	16.2	16.8		3.6		4.6	
159191	Nodularia	Chucula	33	0.3	42.8	9.5	0.4		1.1	0.6	4.2	22.8	18.5					
1178	Nostoc commune		33	0.3	39.5	10.3	0.4	0.4	1.4	1.1	5.2	17.6	24.0					
212362	Nostoc paludosum	PCC 9206	33	0.4	35.4	18.0	0.2	0.2	1.0	1.3	11.9	19.1	12.4					
1177	Nostoc	Albufera; PCC 9202	33	0.3	50.8	3.3	0.3	0.1	0.7	0.2	2.6	6.5	11.6	3.2		19.0		1.4
1177	Nostoc	Caquena	33	0.4	34.2	20.9	0.3		1.4	1.7	17.9	23.2						
1177	Nostoc	Chile; PCC 9201	33	0.3	43.1	8.8	0.2		0.9	0.8	9.6	15.7	0.5		18.0	0.3	1.9	
1177	Nostoc	Chucula; PCC 9203	33	0.3	30.9	19.5	0.3	0.3	1.0	2.5	10.0	19.3	15.8					
1177	Nostoc	Llaita	33	0.5	30.7	20.2	0.4	0.2	1.2	1.9	9.5	15.9	19.5					
1177	Nostoc	Loa; PCC 9204	33	0.4	30.1	21.9	0.4	1.3	1.0	1.6	11.5	15.5	16.4					
